dataset,raw_category,high_level_category,assigned_by
bbq,action,Actions & behavior,OpenAI Codex large language model
bbq,action/attitude,Intentions & attitudes,OpenAI Codex large language model
bbq,action/object,Actions & behavior,OpenAI Codex large language model
bbq,action/statement,Actions & behavior,OpenAI Codex large language model
bbq,activity,Actions & behavior,OpenAI Codex large language model
bbq,age,Demographics,OpenAI Codex large language model
bbq,appearance,Demographics,OpenAI Codex large language model
bbq,attitude/opinion,Intentions & attitudes,OpenAI Codex large language model
bbq,behavior,Actions & behavior,OpenAI Codex large language model
bbq,challenge,Events & situations,OpenAI Codex large language model
bbq,communication,Topics & communication,OpenAI Codex large language model
bbq,concern,Intentions & attitudes,OpenAI Codex large language model
bbq,demographic information,Demographics,OpenAI Codex large language model
bbq,details,Other details,OpenAI Codex large language model
bbq,emotion,Emotions & reactions,OpenAI Codex large language model
bbq,environment,Setting & time,OpenAI Codex large language model
bbq,event,Events & situations,OpenAI Codex large language model
bbq,experience,Events & situations,OpenAI Codex large language model
bbq,family status,Relationships & family,OpenAI Codex large language model
bbq,family structure,Relationships & family,OpenAI Codex large language model
bbq,gender,Demographics,OpenAI Codex large language model
bbq,intention,Intentions & attitudes,OpenAI Codex large language model
bbq,intention/emotion,Emotions & reactions,OpenAI Codex large language model
bbq,interaction,Actions & behavior,OpenAI Codex large language model
bbq,interest/hobby,Intentions & attitudes,OpenAI Codex large language model
bbq,intimacy,Relationships & family,OpenAI Codex large language model
bbq,knowledge/uncertainty,Intentions & attitudes,OpenAI Codex large language model
bbq,location,Setting & time,OpenAI Codex large language model
bbq,location/event,Setting & time,OpenAI Codex large language model
bbq,name,Identity & roles,OpenAI Codex large language model
bbq,preference,Intentions & attitudes,OpenAI Codex large language model
bbq,question,Topics & communication,OpenAI Codex large language model
bbq,reaction/feeling,Emotions & reactions,OpenAI Codex large language model
bbq,relationship,Relationships & family,OpenAI Codex large language model
bbq,relationship status,Relationships & family,OpenAI Codex large language model
bbq,relationship type,Relationships & family,OpenAI Codex large language model
bbq,role,Identity & roles,OpenAI Codex large language model
bbq,sexual orientation,Demographics,OpenAI Codex large language model
bbq,sexuality,Demographics,OpenAI Codex large language model
bbq,situation,Events & situations,OpenAI Codex large language model
bbq,source,Topics & communication,OpenAI Codex large language model
bbq,time,Setting & time,OpenAI Codex large language model
bbq,topic,Topics & communication,OpenAI Codex large language model
bbq,topic of conversation,Topics & communication,OpenAI Codex large language model
bbq,topic of discussion,Topics & communication,OpenAI Codex large language model
bbq,topic of interest,Topics & communication,OpenAI Codex large language model
medqa,ECG findings,Diagnostic tests,OpenAI Codex large language model
medqa,adherence,Medication & adherence,OpenAI Codex large language model
medqa,adjacent anatomy risk,Anatomy & localization,OpenAI Codex large language model
medqa,affect,Mental health & cognition,OpenAI Codex large language model
medqa,age,Demographics,OpenAI Codex large language model
medqa,allergy history,Medical history,OpenAI Codex large language model
medqa,anatomic location,Anatomy & localization,OpenAI Codex large language model
medqa,anatomical location,Anatomy & localization,OpenAI Codex large language model
medqa,anatomical structures,Anatomy & localization,OpenAI Codex large language model
medqa,anthropometric data,Vitals & anthropometrics,OpenAI Codex large language model
medqa,appearance,Physical examination,OpenAI Codex large language model
medqa,audiometry findings,Diagnostic tests,OpenAI Codex large language model
medqa,autonomic/GI‑urinary symptoms,Symptoms,OpenAI Codex large language model
medqa,behavior,"Family, social & lifestyle",OpenAI Codex large language model
medqa,behavioral change,"Family, social & lifestyle",OpenAI Codex large language model
medqa,behavioral observations,"Family, social & lifestyle",OpenAI Codex large language model
medqa,biopsy findings,Laboratory & pathology,OpenAI Codex large language model
medqa,bleeding pattern,Symptoms,OpenAI Codex large language model
medqa,bowel symptoms,Symptoms,OpenAI Codex large language model
medqa,cardiac exam,Physical examination,OpenAI Codex large language model
medqa,cardiac exam findings,Physical examination,OpenAI Codex large language model
medqa,care setting,Care context,OpenAI Codex large language model
medqa,clinical course,Timing & course,OpenAI Codex large language model
medqa,clinical diagnosis,Diagnosis & reasoning,OpenAI Codex large language model
medqa,clinical response,Treatment & response,OpenAI Codex large language model
medqa,clinical setting,Care context,OpenAI Codex large language model
medqa,cognition,Mental health & cognition,OpenAI Codex large language model
medqa,cognitive function,Mental health & cognition,OpenAI Codex large language model
